case,instr,mask,warp,thread,golden_ct,faulty_ct,diff_count,diff_positions,fault_column,fault_done
round9,3700,255,-1,-1,3925841d02dc09fbdc118597196a0b32,f925841d02dc090cdc117d9719680b32,4,"0,7,10,13",0,1
round9,3700,128,-1,-1,3925841d02dc09fbdc118597196a0b32,fd25841d02dc09f7dc11f99719c50b32,4,"0,7,10,13",0,1
round9,3700,85,-1,-1,3925841d02dc09fbdc118597196a0b32,f825841d02dc09abdc11f39719e90b32,4,"0,7,10,13",0,1
round9,3700,42,-1,-1,3925841d02dc09fbdc118597196a0b32,5125841d02dc0942dc118697199c0b32,4,"0,7,10,13",0,1
round9,3700,1,-1,-1,3925841d02dc09fbdc118597196a0b32,4a25841d02dc0918dc11d29719520b32,4,"0,7,10,13",0,1
round9,3702,255,-1,-1,3925841d02dc09fbdc118597196a0b32,f925841d02dc090cdc117d9719680b32,4,"0,7,10,13",0,1
round9,3702,128,-1,-1,3925841d02dc09fbdc118597196a0b32,fd25841d02dc09f7dc11f99719c50b32,4,"0,7,10,13",0,1
round9,3702,85,-1,-1,3925841d02dc09fbdc118597196a0b32,f825841d02dc09abdc11f39719e90b32,4,"0,7,10,13",0,1
round9,3702,42,-1,-1,3925841d02dc09fbdc118597196a0b32,5125841d02dc0942dc118697199c0b32,4,"0,7,10,13",0,1
round9,3702,1,-1,-1,3925841d02dc09fbdc118597196a0b32,4a25841d02dc0918dc11d29719520b32,4,"0,7,10,13",0,1
round9,3704,255,-1,-1,3925841d02dc09fbdc118597196a0b32,3925251d020109fbfe118597196a0bfa,4,"2,5,8,15",2,1
round9,3704,128,-1,-1,3925841d02dc09fbdc118597196a0b32,3925991d02c609fb41118597196a0b57,4,"2,5,8,15",2,1
round9,3704,85,-1,-1,3925841d02dc09fbdc118597196a0b32,39256e1d02fe09fb5b118597196a0b37,4,"2,5,8,15",2,1
round9,3704,42,-1,-1,3925841d02dc09fbdc118597196a0b32,3925911d027409fb78118597196a0b8c,4,"2,5,8,15",2,1
