trial,instr,fired_lanes,n_fired,ct0,ct1,ct2,ct3,diff_count_0,diff_count_1,diff_count_2,diff_count_3,col_0,col_1,col_2,col_3
i5096,5096,"0,1,2,3",4,392584b902dcabfbdc8e8597af6a0b32,8df4e982c5c7583a2713d0551ce4d64b,2f4967907ab8372f43329b659335b8c1,e16b6731e4133c7d839db9aee8b847f4,4,4,4,4,3,3,3,3
i5100,5100,"0,1,2,3",4,392584c302dc53fbdc268597ba6a0b32,8df4e9c8c5c7773a27b1d0555de4d64b,2f4967bb7ab8702f43b79b652e35b8c1,e16b670ee413aa7d83e7b9aefcb847f4,4,4,4,4,3,3,3,3
i5104,5104,"0,1,2,3",4,3925231d026109fbe5118597196a0bbf,8df452aac52c573a30d8d055d6e4d65b,2f49dc1c7a021b2fc65d9b650e35b856,e16bce6be4e1d87d7dedb9aef7b84799,4,4,4,4,2,2,2,2
i5108,5108,"0,1,2,3",4,3929841d49dc09fbdc11855c196ab732,8dc4e9aab1c7573a27d8d05ed6e4214b,2ffd671c30b81b2f435d9b480e351fc1,e1eb676bb513d87d83edb9fcf7b8f1f4,4,4,4,4,1,1,1,1
i5112,5112,"0,1,2,3",4,6d25841d02dc0989dc114a9719500b32,43f4e9aac5c7572227d8ba55d60dd64b,3049671c7ab81bca435d95650e20b8c1,1e6b676be413d8b683ed7faef72f47f4,4,4,4,4,0,0,0,0
i5116,5116,"0,1,2,3",4,f925841d02dc090cdc117d9719680b32,2af4e9aac5c757f427d80c55d692d64b,3a49671c7ab81b59435d82650e34b8c1,1a6b676be413d89d83edb1aef7ae47f4,4,4,4,4,0,0,0,0
i5120,5120,"0,1,2,3",4,3925842102dc8ffbdcd38597976a0b32,8df4e933c5c7fb3a2746d05561e4d64b,2f4967907ab8ca2f434f9b656735b8c1,e16b6760e4132f7d83efb9aefbb847f4,4,4,4,4,3,3,3,3
i5124,5124,"0,1,2,3",4,3925bb1d020409fb73118597196a0b0b,8df417aac55f573ae6d8d055d6e4d637,2f49791c7ae41b2f385d9b650e35b840,e16b796be40cd87dc1edb9aef7b8470f,4,4,4,4,2,2,2,2
i5128,5128,"0,1,2,3",4,3972841da5dc09fbdc11858e196aaa32,8df8e9aa0fc7573a27d8d002d6e4c74b,2f8f671cc5b81b2f435d9b610e3506c1,e1c0676bbb13d87d83edb9a6f7b8a2f4,4,4,4,4,1,1,1,1
i5132,5132,"0,1,2,3",4,9925841d02dc093cdc11be97194d0b32,a9f4e9aac5c7577527d85155d695d64b,de49671c7ab81b83435d1d650efeb8c1,9b6b676be413d8e083ed68aef74547f4,4,4,4,4,0,0,0,0
i5136,5136,"0,1,2,3",4,3925847002dc79fbdc0a8597df6a0b32,8df4e982c5c72a3a2793d0551ee4d64b,2f4967ba7ab83d2f43f79b65fb35b8c1,e16b67e3e413397d8372b9ae73b847f4,4,4,4,4,3,3,3,3
i5140,5140,"0,1,2,3",4,3925771d02ce09fb3b118597196a0bb7,8df448aac5dd573a3dd8d055d6e4d67e,2f49381c7a041b2f935d9b650e35b858,e16b916be4efd87deeedb9aef7b847a2,4,4,4,4,2,2,2,2
i5144,5144,"0,1,2,3",4,397e841d33dc09fbdc1185c0196a7732,8d8ae9aae0c7573a27d8d00ed6e4e44b,2f14671cf1b81b2f435d9be50e353ac1,e120676b9013d87d83edb91af7b8dcf4,4,4,4,4,1,1,1,1
i5148,5148,"0,1,2,3",4,2a25841d02dc0971dc11fc9719dd0b32,90f4e9aac5c7570427d83455d6efd64b,c349671c7ab81b09435ddc650e69b8c1,ee6b676be413d8e783ed96aef7f447f4,4,4,4,4,0,0,0,0
i5152,5152,"0,1,2,3",4,392584c302dc53fbdc268597ba6a0b32,8df4e9c8c5c7773a27b1d0555de4d64b,2f4967bb7ab8702f43b79b652e35b8c1,e16b670ee413aa7d83e7b9aefcb847f4,4,4,4,4,3,3,3,3
i5156,5156,"0,1,2,3",4,3925ce1d02af09fb6e118597196a0bfc,8df44caac5c5573ad0d8d055d6e4d6f2,2f49191c7a4e1b2ff55d9b650e35b83b,e16bfa6be478d87d34edb9aef7b8478a,4,4,4,4,2,2,2,2
i5160,5160,"0,1,2,3",4,390c841deddc09fbdc1185e9196acd32,8de0e9aa3ac7573a27d8d0b6d6e4d74b,2f9c671c44b81b2f435d9b5c0e352ac1,e1b7676ba213d87d83edb9b9f7b8a9f4,4,4,4,4,1,1,1,1
i5164,5164,"0,1,2,3",4,3925847002dc5ffbdcc88597ca6a0b32,8df4e982c5c7dd3a27c3d055c8e4d64b,2f4967ba7ab8142f43109b657b35b8c1,e16b67e3e413387d8387b9ae2eb847f4,4,4,4,4,3,3,3,3
i5168,5168,"0,1,2,3",4,3925bb1d020409fb73118597196a0b0b,8df417aac55f573ae6d8d055d6e4d637,2f49791c7ae41b2f385d9b650e35b840,e16b796be40cd87dc1edb9aef7b8470f,4,4,4,4,2,2,2,2
i5172,5172,"0,1,2,3",4,2a25841d02dc0986dc119797196b0b32,90f4e9aac5c7576d27d8ab55d63ad64b,c349671c7ab81b3e435dd7650e39b8c1,ee6b676be413d84683ede4aef7b347f4,4,4,4,4,0,0,0,0
i5176,5176,"0,1,2,3",4,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,16,16,16,16,-1,-1,-1,-1
i5180,5180,"0,1,2,3",4,3925841d02dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8d055d6e4d64b,c349671c7ab81b2f435d9b650e35b8c1,ee6b676be413d87d83edb9aef7b847f4,0,0,1,1,-1,-1,-1,-1
i5184,5184,"0,1,2,3",4,3925841d02dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8d055d6e4d64b,e349671c7ab81b2f435d9b650e35b8c1,466b676be413d87d83edb9aef7b847f4,0,0,1,1,-1,-1,-1,-1
i5188,5188,"2,3",2,3925841d02dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8d055d6e4d64b,2f49671c7ab81b2f435de7650e35b8c1,e16b676be413d87d83edceaef7b847f4,0,0,1,1,-1,-1,-1,-1
i5192,5192,"2,3",2,3925841d02dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8d055d6e4d64b,c349671c7ab81b09435dd6650e39b8c1,ee6b676be413d8e783edd4aef7b347f4,0,0,4,4,-1,-1,0,0
i5196,5196,"0,1",2,3925841d02dc09fbdc11859719b70b32,8df4e9aac5c7573a27d8d055d6f3d64b,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b847f4,1,1,0,0,-1,-1,-1,-1
i5200,5200,"0,1",2,3925841d02dc09fbdc11fc97196a0b32,8df4e9aac5c7573a27d83455d6e4d64b,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b847f4,1,1,0,0,-1,-1,-1,-1
i5204,5204,"0,1,2,3",4,3925841d02dc09fbdc118597196b0b32,8df4e9aac5c7573a27d8d055d6e4d64b,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b347f4,1,0,0,1,-1,-1,-1,-1
i5208,5208,"0,1,2,3",4,3925841d02dc09fbdc11859719650b32,8df4e9aac5c7573a27d8d055d615d64b,2f49671c7ab81b2f435d9b650e29b8c1,e16b676be413d87d83edb9aef7b947f4,1,1,1,1,-1,-1,-1,-1
i5212,5212,"1,2",2,3925841d02dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8d055d63ad64b,2f49671c7ab81b2f435d9b650e39b8c1,e16b676be413d87d83edb9aef7b847f4,0,1,1,0,-1,-1,-1,-1
i5216,5216,"0,1,2,3",4,3925841d02dc09fbdc118597196b0b32,8df4e9aac5c7573a27d8d055d63ad64b,2f49671c7ab81b2f435d9b650e39b8c1,e16b676be413d87d83edb9aef7b347f4,1,1,1,1,-1,-1,-1,-1
i5220,5220,"0,1,2,3",4,3925841d02dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8c855d6e4d64b,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b847f4,0,1,0,0,-1,-1,-1,-1
i5224,5224,1,1,3925841d02dc09fbdc118597196a0b32,8df4e9aac5c7573a27d85c55d6e4d64b,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b847f4,0,1,0,0,-1,-1,-1,-1
i5228,5228,"0,1,2,3",4,3925841d02dc09fbdc11db97196a0b32,8df4e9aac5c7573a27d85c55d6e4d64b,2f49671c7ab81b2f435dd6650e35b8c1,e16b676be413d87d83edd4aef7b847f4,1,1,1,1,-1,-1,-1,-1
i5232,5232,"0,1,2,3",4,3925841d02dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8d055d6e4d64b,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b847f4,0,0,0,0,-1,-1,-1,-1
i5236,5236,"0,1,2,3",4,3925841d02dc0971dc118597196a0b32,8df4e9aac5c7570427d8d055d6e4d64b,2f49671c7ab81b09435d9b650e35b8c1,e16b676be413d8e783edb9aef7b847f4,1,1,1,1,-1,-1,-1,-1
i5244,5244,"0,1,2,3",4,390c841dd3dc09fbdc1185e9196aca32,8de0e9aaddc7573a27d8d0b6d6e49b4b,2f9c671c18b81b2f435d9b5c0e351ec1,e1b7676b2813d87d83edb9b9f7b8cff4,4,4,4,4,1,1,1,1
